#metadataBlock	name	dataverseAlias	displayName	blockURI												
	AdditionalMetadataAboutDataset	CAFE	Additional Metadata About Dataset													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	cafeDatasetTerms	CCH Terms	Keywords from the Climate Change and Human Health (CCH) Glossary terms developed by NIEHS that are applicable to this dataset		text	0	#VALUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		AdditionalMetadataAboutDataset
#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	cafeDatasetTerms	Acclimatization		0
	cafeDatasetTerms	Adaptation		1
	cafeDatasetTerms	Adaptation Research		2
	cafeDatasetTerms	Adaptive Capacity		3
	cafeDatasetTerms	Aeroallergens		4
	cafeDatasetTerms	Air Pollution		5
	cafeDatasetTerms	Airborne Disease		6
	cafeDatasetTerms	Algae		7
	cafeDatasetTerms	Allergy		8
	cafeDatasetTerms	Animal Reservoir		9
	cafeDatasetTerms	Anthropogenic Emissions		10
	cafeDatasetTerms	Anxiety		11
	cafeDatasetTerms	Applied Research		12
	cafeDatasetTerms	Asthma		13
	cafeDatasetTerms	Atmospheric Aerosol		14
	cafeDatasetTerms	Bacteria		15
	cafeDatasetTerms	Basic Research		16
	cafeDatasetTerms	Behavioral and Social Sciences Research		17
	cafeDatasetTerms	Behavioral Health		18
	cafeDatasetTerms	Behavioral Health Equity		19
	cafeDatasetTerms	Biodiversity		20
	cafeDatasetTerms	Birth Outcome		21
	cafeDatasetTerms	Black Carbon		22
	cafeDatasetTerms	Cancer		23
	cafeDatasetTerms	Capacity Building		24
	cafeDatasetTerms	Carbon Dioxide (CO2)		25
	cafeDatasetTerms	Carbon Monoxide (CO)		26
	cafeDatasetTerms	Carbon Neutral		27
	cafeDatasetTerms	Cardiovascular		28
	cafeDatasetTerms	Chronic Obstructive Pulmonary Disease (COPD)		29
	cafeDatasetTerms	Citizen Science		30
	cafeDatasetTerms	Climate		31
	cafeDatasetTerms	Climate Adaptation		32
	cafeDatasetTerms	Climate and Health Epidemiology		33
	cafeDatasetTerms	Climate and Health Outcome		34
	cafeDatasetTerms	Climate Change		35
	cafeDatasetTerms	Climate Change and Health Co-Benefit		36
	cafeDatasetTerms	Climate Change and Socioeconomic Scenarios		37
	cafeDatasetTerms	Climate Equity		38
	cafeDatasetTerms	Climate Indicator		39
	cafeDatasetTerms	Climate Justice		40
	cafeDatasetTerms	Climate Migration		41
	cafeDatasetTerms	Climate Model		42
	cafeDatasetTerms	Climate Preparedness		43
	cafeDatasetTerms	Climate Risk		44
	cafeDatasetTerms	Climate Scenario		45
	cafeDatasetTerms	Climate Sensitive Diseases (CSD)		46
	cafeDatasetTerms	Climate Stressor		47
	cafeDatasetTerms	Climate Uncertainty		48
	cafeDatasetTerms	Climate Variability		49
	cafeDatasetTerms	Co-Benefit		50
	cafeDatasetTerms	Co-infection		51
	cafeDatasetTerms	Coastal Ocean		52
	cafeDatasetTerms	Cognitive Disorder		53
	cafeDatasetTerms	Cohort		54
	cafeDatasetTerms	Cold Wave		55
	cafeDatasetTerms	Communication Research		56
	cafeDatasetTerms	Community Engagement		57
	cafeDatasetTerms	Comorbidity		58
	cafeDatasetTerms	Compound Event		59
	cafeDatasetTerms	Conceptual Site Model		60
	cafeDatasetTerms	Cost Prediction		61
	cafeDatasetTerms	Crowdsourcing		62
	cafeDatasetTerms	Cryptosporidium		63
	cafeDatasetTerms	Cumulative Health Effects		64
	cafeDatasetTerms	Cumulative Risk		65
	cafeDatasetTerms	Cyanobacteria		66
	cafeDatasetTerms	Data Integration		67
	cafeDatasetTerms	Degree Days		68
	cafeDatasetTerms	Demographic		69
	cafeDatasetTerms	Dengue Fever		70
	cafeDatasetTerms	Dermatological Outcome		71
	cafeDatasetTerms	Desert		72
	cafeDatasetTerms	Developmental Outcome		73
	cafeDatasetTerms	Diabetes		74
	cafeDatasetTerms	Disaster		75
	cafeDatasetTerms	Disaster Equity		76
	cafeDatasetTerms	Disaster Preparedness		77
	cafeDatasetTerms	Disaster Recovery		78
	cafeDatasetTerms	Disaster Research Response		79
	cafeDatasetTerms	Disaster Response		80
	cafeDatasetTerms	Disaster Risk Reduction		81
	cafeDatasetTerms	Disease Burden		82
