Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,314,0,1100.0,1464.6848334658707,688.8960420619696,6469.338792026974,16778.0,0.5232418680773466,0.0,1100,1300,1600,1800,2900,3800,4500,4800,6500,6500,6500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,303,0,18000.0,18185.69442694515,8896.997292060405,38546.52258311398,251954.80858085808,0.504911738940879,0.0,18000,19000,20000,20000,21000,24000,37000,38000,39000,39000,39000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,301,0,17000.0,16582.52397015423,8155.148582998663,31113.67158300709,231319.9534883721,0.501578988188794,0.0,17000,17000,18000,19000,20000,22000,30000,31000,31000,31000,31000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,257,0,16000.0,16038.951583977168,7660.127667011693,31319.283750024624,238696.0428015564,0.4282584716429238,0.0,16000,17000,18000,19000,20000,22000,25000,31000,31000,31000,31000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,315,0,17000.0,17232.320366027794,9996.535749989562,32981.770167010836,290455.80634920637,0.524908243453389,0.0,17000,18000,19000,19000,21000,29000,32000,32000,33000,33000,33000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,276,0,20000.0,20582.785648581037,11860.4627919849,42701.623374945484,281675.71014492755,0.4599196037877314,0.0,20000,22000,23000,23000,24000,26000,36000,42000,43000,43000,43000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,293,0,16000.0,15903.90684142901,6939.881417085417,31375.14837505296,177676.54607508532,0.488247985180454,0.0,16000,17000,17000,18000,20000,26000,31000,31000,31000,31000,31000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,307,0,16000.0,16187.833326826241,6422.236292040907,31669.50399999041,213357.8371335505,0.511577240445049,0.0,16000,17000,18000,18000,19000,22000,30000,31000,32000,32000,32000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,303,0,16000.0,16679.562474496466,7247.400333057158,31851.706207962707,236817.0693069307,0.504911738940879,0.0,16000,17000,18000,19000,20000,23000,31000,31000,32000,32000,32000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,300,0,16000.0,16391.406108762214,7805.429917061701,31883.778000017628,228108.07666666666,0.4999126128127515,0.0,16000,18000,18000,19000,20000,23000,31000,31000,32000,32000,32000
GET,/dataverse/harvard,3040,0,6600.0,7097.773661134603,3304.8358750529587,19127.88058409933,99302.33881578948,5.0657811431692155,0.0,6600,7100,7500,7800,8600,11000,18000,18000,19000,19000,19000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,297,0,5200.0,5521.671462970667,1179.951292113401,13103.139957995154,68615.6430976431,0.494913486684624,0.0,5200,5600,6100,6500,7200,8200,13000,13000,13000,13000,13000
,Aggregated,6306,0,8100.0,10943.63520902399,688.8960420619696,42701.623374945484,152525.35648588647,10.508163121324037,0.0,8100,14000,16000,17000,19000,21000,25000,31000,38000,43000,43000
