Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,496,0,1200.0,1434.6652767867895,623.6462499946356,7000.425499980338,16778.0,0.8267718181512833,0.0,1200,1400,1600,1700,2100,3500,4900,5700,7000,7000,7000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,469,0,3400.0,3934.803088977764,2067.5496250623837,12425.236792070791,252528.1172707889,0.7817660941793385,0.0,3400,3900,4300,4600,6100,7700,10000,10000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,456,0,1700.0,2105.889181627661,1077.8483339818195,10855.671041994356,231823.24342105264,0.7600966715261799,0.0,1700,2000,2300,2400,3000,3400,8200,10000,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,451,0,1900.0,2241.55396917998,1205.2682499634102,11273.031332995743,239388.90687361418,0.7517622781980419,0.0,1900,2200,2500,2600,3100,3600,7100,9800,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,446,0,2200.0,2594.774066877495,1399.7417089994997,11559.133375063539,291300.9730941704,0.743427884869904,0.0,2200,2600,2900,3200,3700,4300,5200,9500,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,493,0,7400.0,8022.642668541124,4710.345417028293,16845.56904202327,282114.15821501013,0.8217711821544006,0.0,7400,8400,9200,9700,11000,12000,15000,16000,17000,17000,17000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,515,0,1300.0,1519.4006991706046,746.7679999535903,9071.433624951169,177938.3922330097,0.8584425127982075,0.0,1300,1500,1700,1900,2300,2600,3000,6100,9100,9100,9100
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,470,0,1400.0,1624.5805999028814,905.2500838879496,9960.205083945766,213782.1234042553,0.783432972844966,0.0,1400,1600,1800,1900,2200,2700,5100,7200,10000,10000,10000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,482,0,1700.0,2005.7713224287377,1038.4072919841856,11303.461457951926,237270.60788381743,0.8034355168324971,0.0,1700,2000,2200,2300,2700,3300,8200,10000,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,449,0,1700.0,1978.589241284792,1055.3537919186056,8879.536582971923,228564.5122494432,0.7484285208667868,0.0,1700,2000,2200,2400,2900,3200,6100,7400,8900,8900,8900
GET,/dataverse/harvard,4656,0,2500.0,2884.886978975259,1325.6217080634087,11000.593166914769,99337.59063573883,7.760987067162047,0.0,2500,2900,3200,3400,4100,5900,7900,8800,11000,11000,11000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,490,0,690.0,802.0561181367565,395.0404170900583,6904.292666935362,68678.24489795919,0.8167705461575179,0.0,690,800,890,970,1100,1400,1900,4800,6900,6900,6900
,Aggregated,9873,0,2200.0,2721.252796832571,395.0404170900583,16845.56904202327,153419.40808264966,16.45709306574117,0.0,2200,2700,3100,3400,4800,7100,9100,10000,15000,17000,17000
