Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,445,0,1300.0,1461.5014810104635,598.6378750531003,6710.537999984808,16778.0,0.7416928046980581,0.0,1300,1600,1700,1800,2300,2800,4200,5500,6700,6700,6700
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,482,0,3700.0,4186.652900510529,2101.0946249589324,15287.15650003869,341411.70331950206,0.803361644639245,0.0,3700,4400,4800,5100,6100,7400,9500,13000,15000,15000,15000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,467,0,1700.0,2179.011825092458,1102.280916995369,12214.589457958937,251242.25267665953,0.778360763582007,0.0,1700,2100,2300,2400,2800,3500,11000,11000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,459,0,1900.0,2414.85567946618,1178.8225000491366,13049.847290967591,323005.0348583878,0.7650269603514801,0.0,1900,2200,2500,2700,3100,3600,12000,12000,13000,13000,13000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,463,0,2300.0,2565.8336276129153,1426.3166250893846,14037.203624960966,331250.1641468683,0.7716938619667436,0.0,2300,2600,2800,3000,3500,3800,4300,13000,14000,14000,14000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,425,0,7700.0,8204.200059819748,4695.047375047579,20058.03170800209,834679.6423529412,0.7083582966217409,0.0,7700,8900,9600,9800,11000,12000,16000,18000,20000,20000,20000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,490,0,1400.0,1643.339390586824,795.3197499737144,11465.798082994297,178301.49387755102,0.8166954478697718,0.0,1400,1600,1700,1800,2200,2400,8400,10000,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,497,0,1400.0,1631.3138653653518,878.7894579581916,11607.05545800738,215962.20523138833,0.8283625256964828,0.0,1400,1700,1900,2000,2300,2500,2800,6700,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,468,0,1700.0,2004.2595778791926,1063.6674580164254,13947.083625011146,241353.07264957266,0.7800274889858229,0.0,1700,2000,2200,2300,2800,3000,6900,9800,14000,14000,14000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,467,0,1700.0,1988.4489688556641,1047.109958017245,12885.898458072916,237012.40042826554,0.778360763582007,0.0,1700,2000,2200,2300,2700,3000,4300,10000,13000,13000,13000
GET,/dataverse/harvard,4718,0,2700.0,2993.2117002489913,1273.1209999183193,12552.630249992944,99354.85756676558,7.863610455203231,0.0,2700,3200,3500,3700,4300,5300,7400,9900,12000,13000,13000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,443,0,680.0,814.9162727567361,343.25370902661234,6569.339249981567,68681.93453724605,0.7383593538904264,0.0,680,780,860,920,1100,1200,3900,6400,6600,6600,6600
,Aggregated,9824,0,2300.0,2792.619837671024,343.25370902661234,20058.03170800209,189662.56718241042,16.373910367087017,0.0,2300,2800,3300,3500,4700,7000,9800,11000,15000,20000,20000
