Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,449,0,1800.0,1941.9362715145735,748.977999901399,9700.636750087142,13396.0,0.7483042641587383,0.0,1800,2000,2300,2500,3100,3500,4400,5400,9700,9700,9700
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,453,0,4500.0,5260.50919316561,2162.151665892452,13187.923791119829,252480.33333333334,0.7549706718572571,0.0,4500,5400,6500,7300,8700,11000,12000,13000,13000,13000,13000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,435,0,1800.0,2268.56644920598,1118.9078339375556,12411.945583997294,231796.51264367817,0.7249718372139224,0.0,1800,2100,2300,2600,3200,4600,10000,10000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,429,0,2000.0,2428.2817846671014,1160.2283751126379,12258.60216608271,239383.65734265733,0.7149722256661442,0.0,2000,2400,2700,2800,3300,4900,10000,11000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,446,0,2400.0,2936.5233367861297,1431.213708827272,13243.49645897746,291349.10313901346,0.7433044583848492,0.0,2400,2800,3100,3500,4100,5900,12000,12000,13000,13000,13000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,439,0,9900.0,10023.983488679314,5325.643250020221,19940.20958407782,282138.54897494306,0.7316382449124412,0.0,9900,11000,12000,13000,14000,16000,17000,17000,20000,20000,20000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,443,0,1400.0,1611.988048426046,742.5889589358121,9784.636124968529,177914.388261851,0.73830465261096,0.0,1400,1600,1800,2000,2400,2700,4500,8000,9800,9800,9800
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,398,0,1400.0,1759.0991001173704,821.9078751280904,11014.506042003632,213762.0552763819,0.6633075660026232,0.0,1400,1700,1900,2000,2400,2700,8400,11000,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,425,0,1800.0,2203.3755115594936,1030.3230839781463,12329.784041037783,237254.20470588235,0.7083058179676254,0.0,1800,2100,2300,2500,3000,4400,9400,10000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,445,0,1700.0,2162.1751855059497,1060.1843749172986,11646.495542023331,228560.79550561798,0.7416378564602195,0.0,1700,2100,2300,2500,2900,3800,8800,10000,12000,12000,12000
GET,/dataverse/harvard,4590,0,3400.0,3885.8371194259207,1467.5157498568296,13420.019583078101,99271.77995642701,7.649702834050354,0.0,3400,4200,4800,5200,6200,7400,9100,10000,12000,13000,13000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,460,0,870.0,1004.8365436686689,413.8939590193331,9676.455541979522,68578.39130434782,0.766636885329665,0.0,870,1000,1200,1200,1400,1600,2500,4900,9700,9700,9700
,Aggregated,9412,0,2700.0,3464.1701430824933,413.8939590193331,19940.20958407782,152077.71812579685,15.686057314614798,0.0,2700,3500,4300,4800,6600,9000,11000,13000,17000,20000,20000
