Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,132,0,19000.0,18366.604053655243,3430.045209126547,47210.748832905665,13396.0,0.22000150083929954,0.0,20000,23000,26000,28000,36000,41000,47000,47000,47000,47000,47000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,144,0,23000.0,28535.208870110284,7816.626959014684,64763.23516690172,253284.01388888888,0.24000163727923585,0.0,29000,36000,39000,40000,50000,59000,61000,62000,65000,65000,65000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,115,0,17000.0,22316.211703954184,3399.2864578031003,54370.76820805669,232477.6695652174,0.1916679742160564,0.0,17000,28000,31000,35000,38000,49000,54000,54000,54000,54000,54000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,146,0,27000.0,24054.401867869885,3735.7993328478187,58052.25433316082,240760.86301369863,0.24333499335255857,0.0,27000,32000,33000,34000,40000,47000,55000,57000,58000,58000,58000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,119,0,21000.0,27425.811530460658,4665.506042074412,65133.47625010647,295213.81512605044,0.19833468636270185,0.0,21000,34000,38000,40000,46000,55000,58000,59000,65000,65000,65000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,145,62,53000.0,50853.09082127883,19725.852208212018,75790.85037508048,162320.26896551723,0.2416683153158972,0.10333403827300432,53000,60000,60000,60000,60000,74000,75000,75000,76000,76000,76000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,129,0,17000.0,21238.598001962022,3895.998417166993,58622.3909589462,178305.03875968992,0.21500146672931544,0.0,17000,29000,31000,33000,38000,46000,50000,51000,59000,59000,59000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,118,0,22000.0,21920.226718180704,1961.4234999753535,55171.1971659679,214295.11016949153,0.19666800832604048,0.0,22000,28000,30000,34000,44000,50000,53000,55000,55000,55000,55000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,129,0,15000.0,21361.936995447362,3614.6631250157952,55769.852333003655,237850.34108527133,0.21500146672931544,0.0,15000,27000,31000,33000,36000,45000,51000,52000,56000,56000,56000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,125,0,24000.0,23500.93301267922,4999.543792102486,54815.51237497479,229034.288,0.20833475458267,0.0,24000,30000,32000,34000,45000,52000,54000,54000,55000,55000,55000
GET,/dataverse/harvard,1207,1207,60001.26658286899,61502.83299037401,60001.26658286899,82561.19174999185,0.0,2.0116803902502616,2.0116803902502616,60000,60000,60000,60000,70000,74000,77000,79000,82000,83000,83000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,141,0,14000.0,13898.210676476121,914.129750104621,45405.950125074014,69048.7304964539,0.23500160316925175,0.0,14000,21000,23000,23000,27000,28000,34000,45000,45000,45000,45000
,Aggregated,2650,1269,52000.0,41683.916260759645,914.129750104621,82561.19174999185,104200.0358490566,4.416696797152604,2.1150144285232657,52000,60000,60000,60000,60000,65000,75000,77000,82000,83000,83000
