Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,378,0,770.0,1134.2257008248466,606.8999578710645,7261.05787511915,9323.0,0.6301175327899443,0.0,770,860,960,1100,2200,3200,5300,6500,7300,7300,7300
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,381,0,2400.0,3070.695655706419,1892.6011670846492,19085.401582997292,327083.87401574804,0.6351184655898645,0.0,2400,2600,3000,3300,4800,6000,8600,16000,19000,19000,19000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,393,1,1400.0,2230.8679585452915,1048.6275830771774,20607.84887499176,236928.44020356235,0.6551221967895453,0.0016669775999733976,1400,1600,1700,1800,3400,5700,16000,17000,21000,21000,21000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,381,0,1600.0,2194.0020684652723,1164.254582952708,20600.65170796588,309229.56692913384,0.6351184655898645,0.0,1600,1800,1900,2000,3100,5500,7800,15000,21000,21000,21000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,372,1,1900.0,2650.5531489508608,1405.487332958728,21585.794041166082,316741.8198924731,0.6201156671901039,0.0016669775999733976,1900,2100,2300,2400,4200,6900,16000,19000,22000,22000,22000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,382,0,4700.0,6043.598888531517,3492.593792034313,22916.90425015986,821014.9607329842,0.6367854431898379,0.0,4700,5200,5500,6200,10000,15000,21000,22000,23000,23000,23000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,360,0,1100.0,1636.4373700538029,808.9194169733673,17936.22291693464,164569.70833333334,0.6001119359904231,0.0,1100,1200,1300,1400,2600,3900,5500,16000,18000,18000,18000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,380,1,1200.0,1641.5699589697301,884.4253751449287,19923.37391595356,201759.88157894736,0.6334514879898911,0.0016669775999733976,1200,1300,1400,1500,2500,4000,5500,14000,20000,20000,20000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,387,0,1400.0,2250.3197995918135,1061.8895830120891,21030.332166934386,227640.49354005168,0.6451203311897049,0.0,1400,1600,1800,1900,3600,6000,15000,19000,21000,21000,21000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,402,3,1400.0,2312.8180172183174,1047.2558338660747,20725.87174992077,221789.26865671642,0.6701249951893059,0.005000932799920193,1400,1600,1700,1800,3600,6000,16000,19000,21000,21000,21000
GET,/dataverse/harvard,3955,2,1600.0,2211.3771344905344,1251.6791250091046,14470.868583070114,85789.59620733249,6.592896407894788,0.0033339551999467952,1600,1800,2000,2300,3700,5000,7900,12000,14000,14000,14000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,378,0,480.0,725.0661640255539,348.68875006213784,8260.642541805282,54974.42592592593,0.6301175327899443,0.0,480,550,590,630,870,1900,5500,7300,8300,8300,8300
,Aggregated,8149,8,1600.0,2287.347039178009,348.68875006213784,22916.90425015986,177172.19990182846,13.584200462183217,0.013335820799787181,1600,1800,2100,2500,4200,5500,11000,14000,21000,23000,23000
