Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/datasets/:persistentId/versions/compareSummary?persistentId=doi:10.7910/DVN/29236,185,0,19000.0,19400.182018313255,18224.72554212436,29117.03166598454,748.0,0.3083596591443885,0.0,19000,19000,19000,20000,20000,20000,27000,27000,29000,29000,29000
GET,/api/search?q=*,180,0,440.0,464.81436969350193,405.86279099807143,1003.663582727313,3553.0,0.3000256143026483,0.0,440,460,490,500,540,560,730,910,1000,1000,1000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,175,0,2300.0,2397.672547623515,2066.5562921203673,4563.8679577969015,342275.54285714286,0.2916915694609081,0.0,2300,2300,2400,2400,2600,3200,4300,4300,4600,4600,4600
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,190,0,1300.0,1350.3921526753784,1164.4404586404562,3344.3772909231484,251952.92631578946,0.3166937039861287,0.0,1300,1300,1400,1400,1400,1500,2200,2900,3300,3300,3300
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,208,0,1500.0,1522.2339060609766,1287.9050001502037,3500.9040418080986,323745.07692307694,0.3466962654163936,0.0,1500,1500,1500,1500,1600,1700,3200,3300,3500,3500,3500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,174,0,1600.0,1722.3735402455961,1482.5684591196477,4243.585541844368,332025.6206896552,0.29002476049256,0.0,1600,1700,1700,1700,1800,2100,3300,4100,4200,4200,4200
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,196,0,4900.0,5115.116244098836,4528.956084046513,9813.784124795347,835539.4948979592,0.32669455779621703,0.0,4900,5100,5200,5200,5400,6500,8700,9700,9800,9800,9800
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,179,0,980.0,1025.0256233458413,867.1525418758392,2504.1025830432773,179080.22346368714,0.2983588053343002,0.0,980,1000,1000,1000,1100,1200,2100,2300,2500,2500,2500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,183,0,1100.0,1124.0035751452822,973.0140422470868,2513.912499882281,216744.34426229508,0.3050260412076924,0.0,1100,1100,1100,1200,1200,1300,1900,2500,2500,2500,2500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,184,0,1300.0,1327.1199791747874,1112.4000828713179,3360.2254171855748,242138.50543478262,0.3066928501760405,0.0,1300,1300,1300,1400,1400,1500,1900,2900,3400,3400,3400
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,167,0,1300.0,1323.5900084443479,1125.5610417574644,3250.291457865387,237802.35928143712,0.2783570977141237,0.0,1300,1300,1300,1400,1400,1500,2800,3000,3300,3300,3300
GET,/dataverse/harvard,1878,0,1400.0,1409.065094272853,1206.0481659136713,3517.9136670194566,100300.38072417465,3.1302672425576303,0.0,1400,1400,1400,1400,1500,1700,2700,3000,3400,3500,3500
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,183,0,450.0,488.1094371457203,413.1942088715732,1169.6386248804629,69460.7650273224,0.3050260412076924,0.0,450,490,520,530,570,620,950,1100,1200,1200,1200
,Aggregated,4082,0,1400.0,2341.4252865097874,405.86279099807143,29117.03166598454,184832.40078392945,6.803914208796724,0.0,1400,1400,1500,1600,3200,5400,19000,20000,27000,29000,29000
