Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/datasets/:persistentId/versions/compareSummary?persistentId=doi:10.7910/DVN/29236,3,0,16839.365042280406,16709.656222568203,16641.83779200539,16839.365042280406,748.0,0.005035629960419091,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/search?q=*,4,0,410.0402919575572,443.7575730262324,410.0402919575572,509.746499825269,3553.0,0.006714173280558788,0.0,450,450,510,510,510,510,510,510,510,510,510
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,1,0,2158.616999629885,2158.616999629885,2158.616999629885,2158.616999629885,342111.0,0.001678543320139697,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,2,0,1413.5181661695242,1456.52616629377,1413.5181661695242,1499.534166418016,251902.5,0.003357086640279394,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,5,0,1400.0,1422.127699945122,1358.5448330268264,1520.9449590183794,323663.0,0.008392716600698485,0.0,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,1,0,1657.702541910112,1657.702541910112,1657.702541910112,1657.702541910112,331974.0,0.001678543320139697,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,2,0,4500.0,4522.720645880327,4495.371833909303,4550.06945785135,835308.0,0.003357086640279394,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,4,0,1200.0,1217.6355210831389,1067.554083187133,1298.776458017528,216704.75,0.006714173280558788,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,2,0,1400.0,1525.3827087581158,1378.8280002772808,1671.9374172389507,243252.0,0.003357086640279394,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/dataverse/harvard,11,0,1300.0,1340.3233449736779,1262.4673340469599,1581.9993340410292,100185.0,0.018463976521536668,0.0,1300,1300,1300,1300,1400,1600,1600,1600,1600,1600,1600
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,2,0,444.38849994912744,457.1042498573661,444.38849994912744,469.81999976560473,69412.0,0.003357086640279394,0.0,470,470,470,470,470,470,470,470,470,470,470
,Aggregated,37,0,1300.0,2658.6087411269546,410.0402919575572,16839.365042280406,191282.67567567568,0.06210610284516879,0.0,1300,1400,1500,1700,4600,17000,17000,17000,17000,17000,17000
