Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/datasets/:persistentId/versions/compareSummary?persistentId=doi:10.7910/DVN/29236,2,0,16832.415958866477,16827.489125309512,16822.562291752547,16832.415958866477,875.0,0.004045383858889526,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/search?q=*,2,0,404.1907498613,710.8492709230632,404.1907498613,1017.5077919848263,4147.0,0.004045383858889526,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,1,0,2501.822667196393,2501.822667196393,2501.822667196393,2501.822667196393,342203.0,0.002022691929444763,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,2,0,1300.0,1588.6594583280385,1250.0032079406083,1927.3157087154686,251972.5,0.004045383858889526,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,1,0,2205.757999792695,2205.757999792695,2205.757999792695,2205.757999792695,323752.0,0.002022691929444763,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,2,0,1600.7713750004768,2218.338437611237,1600.7713750004768,2835.9055002219975,333702.5,0.004045383858889526,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,1,0,4572.566667106003,4572.566667106003,4572.566667106003,4572.566667106003,835390.0,0.002022691929444763,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,1,0,1783.1253330223262,1783.1253330223262,1783.1253330223262,1783.1253330223262,216789.0,0.002022691929444763,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,3,0,1300.0,1522.7833470950525,1233.0925413407385,2059.0962916612625,242162.0,0.006068075788334289,0.0,1300,1300,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/dataverse/harvard,13,0,1300.0,1308.1608365576428,1237.9078338854015,1374.5359582826495,100055.84615384616,0.02629499508278192,0.0,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,3,0,420.0,451.4663745649159,404.70245806500316,526.640874799341,69475.66666666667,0.006068075788334289,0.0,420,420,530,530,530,530,530,530,530,530,530
,Aggregated,31,0,1300.0,2473.638235215819,404.1907498613,16832.415958866477,165650.5483870968,0.06270344981278765,0.0,1300,1400,1900,2100,2800,17000,17000,17000,17000,17000,17000
