Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/datasets/:persistentId/versions/compareSummary?persistentId=doi:10.7910/DVN/29236,298,189,60000.0,58404.7166350182,51709.36595834792,60097.59729169309,320.0503355704698,0.49665774685534453,0.31499434280422856,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/search?q=*,340,0,1500.0,2001.2542737798547,625.3027911297977,12969.228625297546,4147.0,0.5666564897007287,0.0,1500,1800,2200,2400,3600,5000,8200,10000,13000,13000,13000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,288,0,7400.0,9234.721409438256,3606.9913329556584,26603.50558301434,342357.80555555556,0.47999137951120546,0.0,7400,9200,11000,12000,18000,23000,25000,26000,27000,27000,27000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,289,0,5200.0,6478.857583464623,2278.7643331103027,24561.17175007239,252073.40138408306,0.4816580162456194,0.0,5200,6500,7700,8400,12000,17000,20000,23000,25000,25000,25000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,324,0,5700.0,7398.733764038892,2264.3679580651224,23657.577749807388,323906.34567901236,0.5399903019501061,0.0,5700,7100,8100,9400,16000,21000,23000,23000,24000,24000,24000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,319,0,7300.0,8250.655054962876,2782.783332746476,25779.422542080283,332385.20062695927,0.5316571182780366,0.0,7300,8900,10000,11000,13000,18000,22000,25000,26000,26000,26000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,310,0,15000.0,17315.84513079555,9018.07212503627,40255.52416685969,835629.906451613,0.5166573876683114,0.0,15000,18000,20000,22000,27000,35000,39000,40000,40000,40000,40000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,335,0,4300.0,5609.039238075823,1810.5447920970619,21411.423000041395,179190.6447761194,0.5583233060286591,0.0,4300,5400,6200,7000,11000,17000,20000,21000,21000,21000,21000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,303,0,4900.0,6349.791990903516,1592.9295839741826,21289.50429195538,216902.31683168316,0.5049909305274141,0.0,4900,6200,7300,8200,15000,19000,20000,21000,21000,21000,21000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,309,0,5300.0,6892.8093646176785,2259.134500287473,24377.248916774988,242302.9644012945,0.5149907509338975,0.0,5300,7000,7900,8900,15000,17000,22000,24000,24000,24000,24000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,295,0,5200.0,6521.04146457514,1961.7291670292616,23319.943541660905,237934.01355932205,0.4916578366521028,0.0,5200,6400,7300,8500,14000,18000,20000,22000,23000,23000,23000
GET,/dataverse/harvard,3137,0,4800.0,6140.699236839446,2083.065540995449,23818.57354193926,100205.33917755817,5.228239435856429,0.0,4800,5700,6500,7200,12000,17000,20000,21000,23000,24000,24000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,330,0,2400.0,2986.197646615575,775.7995841093361,14396.66416682303,69570.93636363637,0.5499901223565896,0.0,2400,3000,3400,3800,5100,7600,13000,14000,14000,14000,14000
,Aggregated,6877,189,5100.0,8887.52384521634,625.3027911297977,60097.59729169309,181923.86185836847,11.461460822564444,0.31499434280422856,5100,6600,8300,10000,18000,26000,60000,60000,60000,60000,60000
